Start Date,End Date,Event Name,Category (CD / CD Classic / Raid / Mega / Shadow Raid / Spotlight / Research / Other)
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,November Community Day,Community Day
,,November Community Day,Community Day
,,November Community Day,Community Day
,,November Community Day,Community Day
,,Raid NOW,Raid/Mega
,,Raids you are joining (Latest 2),Raid/Mega
,,Raids you are joining (Latest 2),Raid/Mega
,,まとめて評価,Event/News
,,Bonuses,Event/News
,,"For the brave, adventure awaits around every corner—are you ready to venture into the Wild Area?",Event/News
,,"For the brave, adventure awaits around every corner—are you ready to venture into the Wild Area?",Event/News
